Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index
ORD_70806c02,buyer_purchaser_1: Received Task (send_order),buyer_purchaser_1,2020-01-27 15:05:47.410,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-27 15:23:44.882,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-27 15:28:44.986,Variant 10,10
ORD_70806c02,buyer: Send order,buyer,2020-01-27 15:28:45.125,Variant 10,10
ORD_70806c02,seller_clerk_2: Queued Task (on_order),seller_clerk_2,2020-01-27 15:32:53.209,Variant 10,10
ORD_70806c02,seller_clerk_2: Started Task (on_order),seller_clerk_2,2020-01-27 17:29:38.610,Variant 10,10
ORD_70806c02,seller_clerk_2: Completed Task (on_order),seller_clerk_2,2020-01-27 18:07:23.512,Variant 10,10
ORD_70806c02,seller_clerk_1: Queued Task (send_delivery_req),seller_clerk_1,2020-01-27 18:07:23.560,Variant 10,10
ORD_70806c02,seller_accountant_1: Queued Task (send_invoice),seller_accountant_1,2020-01-27 18:07:23.560,Variant 10,10
ORD_70806c02,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-27 18:48:37.710,Variant 10,10
ORD_70806c02,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-27 19:14:14.711,Variant 10,10
ORD_70806c02,seller: Send invoice,seller,2020-01-27 19:14:14.754,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Queued Task (on_invoice),buyer_purchaser_1,2020-01-27 19:21:28.335,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-27 19:33:33.678,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-27 19:38:33.770,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Queued Task (send_pay),buyer_purchaser_1,2020-01-27 19:44:15.477,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-27 19:53:34.087,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-27 20:08:34.294,Variant 10,10
ORD_70806c02,buyer: Send pay,buyer,2020-01-27 20:08:34.440,Variant 10,10
ORD_70806c02,seller_accountant_1: Queued Task (on_pay),seller_accountant_1,2020-01-27 20:09:30.510,Variant 10,10
ORD_70806c02,seller_accountant_1: Started Task (on_pay),seller_accountant_1,2020-01-27 21:08:44.807,Variant 10,10
ORD_70806c02,seller_clerk_1: Started Task (send_delivery_req),seller_clerk_1,2020-01-27 21:19:54.175,Variant 10,10
ORD_70806c02,seller_accountant_1: Completed Task (on_pay),seller_accountant_1,2020-01-27 21:38:45.219,Variant 10,10
ORD_70806c02,seller_clerk_1: Completed Task (send_delivery_req),seller_clerk_1,2020-01-27 21:49:54.583,Variant 10,10
ORD_70806c02,seller: Send delivery_req,seller,2020-01-27 21:49:54.631,Variant 10,10
ORD_70806c02,logistics_warehouseman_1: Queued Task (on_delivery_req),logistics_warehouseman_1,2020-01-27 21:49:54.633,Variant 10,10
ORD_70806c02,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-27 23:51:07.146,Variant 10,10
ORD_70806c02,logistics_warehouseman_1: Completed Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 00:54:18.889,Variant 10,10
ORD_70806c02,logistics_courier_1: Queued Task (send_deliver),logistics_courier_1,2020-01-28 00:54:18.936,Variant 10,10
ORD_70806c02,logistics_courier_1: Started Task (send_deliver),logistics_courier_1,2020-02-01 20:09:04.516,Variant 10,10
ORD_70806c02,logistics_courier_1: Completed Task (send_deliver),logistics_courier_1,2020-02-02 01:56:49.247,Variant 10,10
ORD_70806c02,logistics: Send deliver,logistics,2020-02-02 01:56:49.293,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Queued Task (on_deliver),buyer_purchaser_1,2020-02-02 07:56:54.184,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Started Task (on_deliver),buyer_purchaser_1,2020-02-02 08:10:58.043,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Completed Task (on_deliver),buyer_purchaser_1,2020-02-02 08:29:50.756,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Received Task (send_confirm),buyer_purchaser_1,2020-02-02 08:43:52.652,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Started Task (send_confirm),buyer_purchaser_1,2020-02-02 14:18:06.593,Variant 10,10
ORD_70806c02,buyer_purchaser_1: Completed Task (send_confirm),buyer_purchaser_1,2020-02-02 14:28:06.704,Variant 10,10
ORD_70806c02,buyer: Send confirm,buyer,2020-02-02 14:28:06.849,Variant 10,10
ORD_70806c02,seller_clerk_2: Received Task (on_confirm),seller_clerk_2,2020-02-02 14:33:06.852,Variant 10,10
ORD_70806c02,seller_clerk_2: Started Task (on_confirm),seller_clerk_2,2020-02-02 14:38:06.913,Variant 10,10
ORD_70806c02,seller_clerk_2: Completed Task (on_confirm),seller_clerk_2,2020-02-02 14:48:07.020,Variant 10,10
ORD_bed94aa3,buyer_purchaser_1: Queued Task (send_order),buyer_purchaser_1,2020-01-27 15:43:45.442,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-27 15:48:45.511,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-27 15:53:45.820,Variant 11,11
ORD_bed94aa3,buyer: Send order,buyer,2020-01-27 15:53:45.959,Variant 11,11
ORD_bed94aa3,seller_clerk_2: Queued Task (on_order),seller_clerk_2,2020-01-27 16:03:45.970,Variant 11,11
ORD_bed94aa3,seller_clerk_2: Started Task (on_order),seller_clerk_2,2020-01-27 18:37:24.028,Variant 11,11
ORD_bed94aa3,seller_clerk_2: Completed Task (on_order),seller_clerk_2,2020-01-27 19:10:40.309,Variant 11,11
ORD_bed94aa3,seller_clerk_1: Queued Task (send_delivery_req),seller_clerk_1,2020-01-27 19:10:40.358,Variant 11,11
ORD_bed94aa3,seller_accountant_1: Queued Task (send_invoice),seller_accountant_1,2020-01-27 19:10:40.358,Variant 11,11
ORD_bed94aa3,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-27 20:09:30.468,Variant 11,11
ORD_bed94aa3,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-27 20:44:26.105,Variant 11,11
ORD_bed94aa3,seller: Send invoice,seller,2020-01-27 20:44:26.150,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Queued Task (on_invoice),buyer_purchaser_1,2020-01-27 20:49:42.722,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-27 20:59:42.897,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-27 21:04:42.994,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Received Task (send_pay),buyer_purchaser_1,2020-01-27 21:08:44.845,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-27 21:19:43.204,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-27 21:34:43.410,Variant 11,11
ORD_bed94aa3,buyer: Send pay,buyer,2020-01-27 21:34:43.553,Variant 11,11
ORD_bed94aa3,seller_accountant_1: Queued Task (on_pay),seller_accountant_1,2020-01-27 21:38:45.268,Variant 11,11
ORD_bed94aa3,seller_accountant_1: Started Task (on_pay),seller_accountant_1,2020-01-27 22:12:07.268,Variant 11,11
ORD_bed94aa3,seller_clerk_1: Started Task (send_delivery_req),seller_clerk_1,2020-01-27 22:22:13.735,Variant 11,11
ORD_bed94aa3,seller_accountant_1: Completed Task (on_pay),seller_accountant_1,2020-01-27 22:42:07.677,Variant 11,11
ORD_bed94aa3,seller_clerk_1: Completed Task (send_delivery_req),seller_clerk_1,2020-01-27 22:52:14.141,Variant 11,11
ORD_bed94aa3,seller: Send delivery_req,seller,2020-01-27 22:52:14.187,Variant 11,11
ORD_bed94aa3,logistics_warehouseman_1: Queued Task (on_delivery_req),logistics_warehouseman_1,2020-01-27 22:52:14.188,Variant 11,11
ORD_bed94aa3,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 01:48:14.841,Variant 11,11
ORD_bed94aa3,logistics_warehouseman_1: Completed Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 02:46:22.678,Variant 11,11
ORD_bed94aa3,logistics_courier_1: Queued Task (send_deliver),logistics_courier_1,2020-01-28 02:46:22.722,Variant 11,11
ORD_bed94aa3,logistics_courier_1: Started Task (send_deliver),logistics_courier_1,2020-02-02 07:56:54.146,Variant 11,11
ORD_bed94aa3,logistics_courier_1: Completed Task (send_deliver),logistics_courier_1,2020-02-02 14:18:06.594,Variant 11,11
ORD_bed94aa3,logistics: Send deliver,logistics,2020-02-02 14:18:06.646,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Queued Task (on_deliver),buyer_purchaser_1,2020-02-02 14:33:06.849,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Started Task (on_deliver),buyer_purchaser_1,2020-02-02 14:38:06.924,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Completed Task (on_deliver),buyer_purchaser_1,2020-02-02 14:53:04.865,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Received Task (send_confirm),buyer_purchaser_1,2020-02-02 15:38:18.534,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Started Task (send_confirm),buyer_purchaser_1,2020-02-02 15:39:02.476,Variant 11,11
ORD_bed94aa3,buyer_purchaser_1: Completed Task (send_confirm),buyer_purchaser_1,2020-02-02 15:49:02.576,Variant 11,11
ORD_bed94aa3,buyer: Send confirm,buyer,2020-02-02 15:49:02.718,Variant 11,11
ORD_bed94aa3,seller_clerk_2: Received Task (on_confirm),seller_clerk_2,2020-02-02 16:09:02.727,Variant 11,11
ORD_bed94aa3,seller_clerk_2: Started Task (on_confirm),seller_clerk_2,2020-02-02 16:11:12.029,Variant 11,11
ORD_bed94aa3,seller_clerk_2: Completed Task (on_confirm),seller_clerk_2,2020-02-02 16:21:12.238,Variant 11,11
ORD_d7f68d85,buyer_purchaser_1: Queued Task (send_order),buyer_purchaser_1,2020-01-27 15:48:45.650,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-27 16:03:45.925,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-27 16:08:46.122,Variant 12,12
ORD_d7f68d85,buyer: Send order,buyer,2020-01-27 16:08:46.274,Variant 12,12
ORD_d7f68d85,seller_clerk_2: Queued Task (on_order),seller_clerk_2,2020-01-27 16:13:46.276,Variant 12,12
ORD_d7f68d85,seller_clerk_2: Started Task (on_order),seller_clerk_2,2020-01-27 19:10:40.321,Variant 12,12
ORD_d7f68d85,seller_clerk_2: Completed Task (on_order),seller_clerk_2,2020-01-27 20:01:11.503,Variant 12,12
ORD_d7f68d85,seller_clerk_2: Queued Task (send_delivery_req),seller_clerk_2,2020-01-27 20:01:11.546,Variant 12,12
ORD_d7f68d85,seller_accountant_1: Queued Task (send_invoice),seller_accountant_1,2020-01-27 20:01:11.546,Variant 12,12
ORD_d7f68d85,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-27 20:44:26.114,Variant 12,12
ORD_d7f68d85,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-27 21:08:44.802,Variant 12,12
ORD_d7f68d85,seller: Send invoice,seller,2020-01-27 21:08:44.849,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Queued Task (on_invoice),buyer_purchaser_1,2020-01-27 21:19:43.243,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-27 21:34:43.416,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-27 21:39:43.617,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Received Task (send_pay),buyer_purchaser_1,2020-01-27 21:49:54.625,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-27 21:55:33.767,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-27 22:10:33.963,Variant 12,12
ORD_d7f68d85,buyer: Send pay,buyer,2020-01-27 22:10:34.110,Variant 12,12
ORD_d7f68d85,seller_accountant_1: Queued Task (on_pay),seller_accountant_1,2020-01-27 22:12:07.308,Variant 12,12
ORD_d7f68d85,seller_accountant_1: Started Task (on_pay),seller_accountant_1,2020-01-27 22:42:07.682,Variant 12,12
ORD_d7f68d85,seller_accountant_1: Completed Task (on_pay),seller_accountant_1,2020-01-27 23:12:08.089,Variant 12,12
ORD_d7f68d85,seller_clerk_2: Started Task (send_delivery_req),seller_clerk_2,2020-01-28 00:38:23.778,Variant 12,12
ORD_d7f68d85,seller_clerk_2: Completed Task (send_delivery_req),seller_clerk_2,2020-01-28 01:08:24.597,Variant 12,12
ORD_d7f68d85,seller: Send delivery_req,seller,2020-01-28 01:08:24.645,Variant 12,12
ORD_d7f68d85,logistics_warehouseman_1: Queued Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 01:08:26.176,Variant 12,12
ORD_d7f68d85,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 02:46:22.682,Variant 12,12
ORD_d7f68d85,logistics_warehouseman_1: Completed Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 03:51:04.129,Variant 12,12
ORD_d7f68d85,logistics_courier_1: Queued Task (send_deliver),logistics_courier_1,2020-01-28 03:51:04.173,Variant 12,12
ORD_d7f68d85,logistics_courier_1: Started Task (send_deliver),logistics_courier_1,2020-02-02 14:18:06.596,Variant 12,12
ORD_d7f68d85,logistics_courier_1: Completed Task (send_deliver),logistics_courier_1,2020-02-02 19:46:28.129,Variant 12,12
ORD_d7f68d85,logistics: Send deliver,logistics,2020-02-02 19:46:28.176,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Queued Task (on_deliver),buyer_purchaser_1,2020-02-02 20:02:13.153,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Started Task (on_deliver),buyer_purchaser_1,2020-02-02 20:07:13.433,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Completed Task (on_deliver),buyer_purchaser_1,2020-02-02 20:19:47.261,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Queued Task (send_confirm),buyer_purchaser_1,2020-02-02 20:33:19.383,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Started Task (send_confirm),buyer_purchaser_1,2020-02-02 20:49:48.013,Variant 12,12
ORD_d7f68d85,buyer_purchaser_1: Completed Task (send_confirm),buyer_purchaser_1,2020-02-02 20:59:48.098,Variant 12,12
ORD_d7f68d85,buyer: Send confirm,buyer,2020-02-02 20:59:48.244,Variant 12,12
ORD_d7f68d85,seller_clerk_1: Queued Task (on_confirm),seller_clerk_1,2020-02-02 21:03:20.221,Variant 12,12
ORD_d7f68d85,seller_clerk_1: Started Task (on_confirm),seller_clerk_1,2020-02-02 21:33:20.804,Variant 12,12
ORD_d7f68d85,seller_clerk_1: Completed Task (on_confirm),seller_clerk_1,2020-02-02 21:43:20.896,Variant 12,12
ORD_0662df35,buyer_purchaser_1: Received Task (send_order),buyer_purchaser_1,2020-01-27 16:13:46.277,Variant 13,13
ORD_0662df35,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-27 16:21:05.104,Variant 13,13
ORD_0662df35,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-27 16:26:05.212,Variant 13,13
ORD_0662df35,buyer: Send order,buyer,2020-01-27 16:26:05.355,Variant 13,13
ORD_0662df35,seller_clerk_2: Queued Task (on_order),seller_clerk_2,2020-01-27 16:32:56.932,Variant 13,13
ORD_0662df35,seller_clerk_2: Started Task (on_order),seller_clerk_2,2020-01-27 20:01:11.507,Variant 13,13
ORD_0662df35,seller_clerk_2: Completed Task (on_order),seller_clerk_2,2020-01-27 20:49:42.686,Variant 13,13
ORD_0662df35,seller_clerk_2: Queued Task (send_reject),seller_clerk_2,2020-01-27 20:49:42.728,Variant 13,13
ORD_0662df35,seller_clerk_2: Started Task (send_reject),seller_clerk_2,2020-01-28 01:38:25.122,Variant 13,13
ORD_0662df35,seller_clerk_2: Completed Task (send_reject),seller_clerk_2,2020-01-28 01:43:25.218,Variant 13,13
ORD_0662df35,seller: Send reject,seller,2020-01-28 01:43:25.266,Variant 13,13
ORD_0662df35,buyer_purchaser_1: Queued Task (on_reject),buyer_purchaser_1,2020-01-28 01:45:47.766,Variant 13,13
ORD_0662df35,buyer_purchaser_1: Started Task (on_reject),buyer_purchaser_1,2020-01-28 01:59:37.218,Variant 13,13
ORD_0662df35,buyer_purchaser_1: Completed Task (on_reject),buyer_purchaser_1,2020-01-28 02:04:37.313,Variant 13,13
ORD_14da73d8,buyer_purchaser_1: Queued Task (send_order),buyer_purchaser_1,2020-01-27 18:34:20.174,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-27 18:48:32.431,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-27 18:53:32.630,Variant 14,14
ORD_14da73d8,buyer: Send order,buyer,2020-01-27 18:53:32.776,Variant 14,14
ORD_14da73d8,seller_clerk_1: Queued Task (on_order),seller_clerk_1,2020-01-27 18:58:32.778,Variant 14,14
ORD_14da73d8,seller_clerk_1: Started Task (on_order),seller_clerk_1,2020-01-27 21:49:54.591,Variant 14,14
ORD_14da73d8,seller_clerk_1: Completed Task (on_order),seller_clerk_1,2020-01-27 22:22:13.730,Variant 14,14
ORD_14da73d8,seller_accountant_1: Queued Task (send_invoice),seller_accountant_1,2020-01-27 22:22:13.774,Variant 14,14
ORD_14da73d8,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-27 23:12:08.096,Variant 14,14
ORD_14da73d8,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-27 23:38:42.417,Variant 14,14
ORD_14da73d8,seller: Send invoice,seller,2020-01-27 23:38:42.467,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Received Task (on_invoice),buyer_purchaser_1,2020-01-27 23:51:07.181,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-27 23:58:12.036,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-28 00:03:12.132,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Received Task (send_pay),buyer_purchaser_1,2020-01-28 00:04:05.017,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-28 00:30:32.203,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-28 00:45:32.517,Variant 14,14
ORD_14da73d8,buyer: Send pay,buyer,2020-01-28 00:45:32.660,Variant 14,14
ORD_14da73d8,seller_accountant_1: Queued Task (on_pay),seller_accountant_1,2020-01-28 00:46:56.412,Variant 14,14
ORD_14da73d8,seller_accountant_1: Started Task (on_pay),seller_accountant_1,2020-01-28 01:06:53.903,Variant 14,14
ORD_14da73d8,seller_accountant_1: Completed Task (on_pay),seller_accountant_1,2020-01-28 01:36:54.414,Variant 14,14
ORD_14da73d8,seller_clerk_1: Queued Task (send_delivery_req),seller_clerk_1,2020-01-28 01:36:54.461,Variant 14,14
ORD_14da73d8,seller_clerk_1: Started Task (send_delivery_req),seller_clerk_1,2020-01-28 02:45:49.087,Variant 14,14
ORD_14da73d8,seller_clerk_1: Completed Task (send_delivery_req),seller_clerk_1,2020-01-28 03:15:49.812,Variant 14,14
ORD_14da73d8,seller: Send delivery_req,seller,2020-01-28 03:15:49.859,Variant 14,14
ORD_14da73d8,logistics_warehouseman_1: Queued Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 03:15:49.860,Variant 14,14
ORD_14da73d8,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 07:38:35.367,Variant 14,14
ORD_14da73d8,logistics_warehouseman_1: Completed Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 08:39:13.945,Variant 14,14
ORD_14da73d8,logistics_courier_1: Queued Task (send_deliver),logistics_courier_1,2020-01-28 08:39:13.997,Variant 14,14
ORD_14da73d8,logistics_courier_1: Started Task (send_deliver),logistics_courier_1,2020-02-03 19:21:22.896,Variant 14,14
ORD_14da73d8,logistics_courier_1: Completed Task (send_deliver),logistics_courier_1,2020-02-04 01:39:24.777,Variant 14,14
ORD_14da73d8,logistics: Send deliver,logistics,2020-02-04 01:39:24.823,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Queued Task (on_deliver),buyer_purchaser_1,2020-02-04 01:49:25.021,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Started Task (on_deliver),buyer_purchaser_1,2020-02-04 01:54:25.090,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Completed Task (on_deliver),buyer_purchaser_1,2020-02-04 02:08:25.759,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Received Task (send_confirm),buyer_purchaser_1,2020-02-04 02:42:47.243,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Started Task (send_confirm),buyer_purchaser_1,2020-02-04 03:27:17.369,Variant 14,14
ORD_14da73d8,buyer_purchaser_1: Completed Task (send_confirm),buyer_purchaser_1,2020-02-04 03:37:17.572,Variant 14,14
ORD_14da73d8,buyer: Send confirm,buyer,2020-02-04 03:37:17.716,Variant 14,14
ORD_14da73d8,seller_clerk_2: Received Task (on_confirm),seller_clerk_2,2020-02-04 04:02:17.724,Variant 14,14
ORD_14da73d8,seller_clerk_2: Started Task (on_confirm),seller_clerk_2,2020-02-04 04:03:36.212,Variant 14,14
ORD_14da73d8,seller_clerk_2: Completed Task (on_confirm),seller_clerk_2,2020-02-04 04:13:36.532,Variant 14,14
ORD_4ff39da0,buyer_purchaser_1: Queued Task (send_order),buyer_purchaser_1,2020-01-27 18:37:24.075,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-27 18:58:32.739,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-27 19:03:32.837,Variant 15,15
ORD_4ff39da0,buyer: Send order,buyer,2020-01-27 19:03:32.984,Variant 15,15
ORD_4ff39da0,seller_clerk_2: Queued Task (on_order),seller_clerk_2,2020-01-27 19:08:32.986,Variant 15,15
ORD_4ff39da0,seller_clerk_2: Started Task (on_order),seller_clerk_2,2020-01-27 22:27:03.141,Variant 15,15
ORD_4ff39da0,seller_clerk_2: Completed Task (on_order),seller_clerk_2,2020-01-27 23:13:49.104,Variant 15,15
ORD_4ff39da0,seller_clerk_1: Queued Task (send_delivery_req),seller_clerk_1,2020-01-27 23:13:49.149,Variant 15,15
ORD_4ff39da0,seller_accountant_1: Queued Task (send_invoice),seller_accountant_1,2020-01-27 23:13:49.149,Variant 15,15
ORD_4ff39da0,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-27 23:38:42.423,Variant 15,15
ORD_4ff39da0,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-28 00:04:04.972,Variant 15,15
ORD_4ff39da0,seller: Send invoice,seller,2020-01-28 00:04:05.020,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Queued Task (on_invoice),buyer_purchaser_1,2020-01-28 00:30:32.243,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-28 00:45:32.522,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-28 00:50:32.723,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Queued Task (send_pay),buyer_purchaser_1,2020-01-28 00:54:18.932,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-28 01:04:35.759,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-28 01:19:36.165,Variant 15,15
ORD_4ff39da0,buyer: Send pay,buyer,2020-01-28 01:19:36.309,Variant 15,15
ORD_4ff39da0,seller_accountant_1: Queued Task (on_pay),seller_accountant_1,2020-01-28 01:34:36.314,Variant 15,15
ORD_4ff39da0,seller_clerk_1: Started Task (send_delivery_req),seller_clerk_1,2020-01-28 01:45:47.732,Variant 15,15
ORD_4ff39da0,seller_accountant_1: Started Task (on_pay),seller_accountant_1,2020-01-28 02:10:25.102,Variant 15,15
ORD_4ff39da0,seller_clerk_1: Completed Task (send_delivery_req),seller_clerk_1,2020-01-28 02:15:48.561,Variant 15,15
ORD_4ff39da0,seller: Send delivery_req,seller,2020-01-28 02:15:48.612,Variant 15,15
ORD_4ff39da0,logistics_warehouseman_1: Queued Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 02:15:48.613,Variant 15,15
ORD_4ff39da0,seller_accountant_1: Completed Task (on_pay),seller_accountant_1,2020-01-28 02:40:25.613,Variant 15,15
ORD_4ff39da0,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 04:55:56.639,Variant 15,15
ORD_4ff39da0,logistics_warehouseman_1: Completed Task (on_delivery_req),logistics_warehouseman_1,2020-01-28 05:55:48.457,Variant 15,15
ORD_4ff39da0,logistics_courier_1: Queued Task (send_deliver),logistics_courier_1,2020-01-28 05:55:48.506,Variant 15,15
ORD_4ff39da0,logistics_courier_1: Started Task (send_deliver),logistics_courier_1,2020-02-03 02:37:22.665,Variant 15,15
ORD_4ff39da0,logistics_courier_1: Completed Task (send_deliver),logistics_courier_1,2020-02-03 08:10:24.425,Variant 15,15
ORD_4ff39da0,logistics: Send deliver,logistics,2020-02-03 08:10:24.473,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Received Task (on_deliver),buyer_purchaser_1,2020-02-03 08:23:57.279,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Started Task (on_deliver),buyer_purchaser_1,2020-02-03 08:28:29.204,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Completed Task (on_deliver),buyer_purchaser_1,2020-02-03 08:42:44.065,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Queued Task (send_confirm),buyer_purchaser_1,2020-02-03 08:47:44.211,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Started Task (send_confirm),buyer_purchaser_1,2020-02-03 08:52:44.383,Variant 15,15
ORD_4ff39da0,buyer_purchaser_1: Completed Task (send_confirm),buyer_purchaser_1,2020-02-03 09:02:44.583,Variant 15,15
ORD_4ff39da0,buyer: Send confirm,buyer,2020-02-03 09:02:44.743,Variant 15,15
ORD_4ff39da0,seller_clerk_1: Queued Task (on_confirm),seller_clerk_1,2020-02-03 09:07:44.746,Variant 15,15
ORD_4ff39da0,seller_clerk_1: Started Task (on_confirm),seller_clerk_1,2020-02-03 09:12:44.924,Variant 15,15
ORD_4ff39da0,seller_clerk_1: Completed Task (on_confirm),seller_clerk_1,2020-02-03 09:22:45.124,Variant 15,15
